Ancient place name,Pleiades URI,latlong,Modern name,Geonames URI,,,,,,,,,,,,,,,,,,,,,,,
Haluntium,http://pleiades.stoa.org/places/462228,"38.07261, 14.70093",San Marco d'Alunzio,http://www.geonames.org/2523425/san-marco-d-alunzio.html,,,,,,,,,,,,,,,,,,,,,,,
Helorus,http://pleiades.stoa.org/places/462234,"36.84044, 15.10414",Eloro,http://www.geonames.org/10402654/resti-di-eloro.html,,,,,,,,,,,,,,,,,,,,,,,
Herbessus (?),http://pleiades.stoa.org/places/462239,"37.42658,14.30061",Montagna di Marzo,http://www.geonames.org/11102431/montagna-di-marzo.html,,,,,,,,,,,,,,,,,,,,,,,
Himera,http://pleiades.stoa.org/places/462244,"37.97364, 13.82398",Imera,http://www.geonames.org/2524519/imera.html,,,,,,,,,,,,,,,,,,,,,,,
Hippana,http://pleiades.stoa.org/places/462247,"37.701564, 13.436825",Montagna dei Cavalli,http://www.geonames.org/11102432/montagna-dei-cavalli.html,,,,,,,,,,,,,,,,,,,,,,,
Hybla Gereatis,see Aetna,,,,,,,,,,,,,,,,,,,,,,,,,,
Hybla Heraea,http://pleiades.stoa.org/places/462252,"36.92653,14.74761",Ragusa,http://www.geonames.org/2523650/ragusa.html,,,,,,,,,,,,,,,,,,,,,,,
,,"36.9189213, 15.156047",Borgellusa di Avola,http://pleiades.stoa.org/places/462115/,,,,,,,,,,,,,,,,,,,,,,,
Hyccara,http://pleiades.stoa.org/places/462254,"38.15665, 13.17764",Carini,http://www.geonames.org/6542099/carini.html,,,,,,,,,,,,,,,,,,,,,,,
Ietas,http://pleiades.stoa.org/places/462258,"37.967050, 13.198199",Monte Iato,http://www.geonames.org/2524540/monte-iato.html,,,,,,,,,,,,,,,,,,,,,,,
Inessa/Aitna,http://pleiades.stoa.org/places/465922,"37.60182, 14.90788",contrada Civita,,,,,,,,,,,,,,,,,,,,,,,,
Kakyron (?),http://pleiades.stoa.org/places/462266,"37.2581981, 13.9836298",Monte Saraceno,http://www.geonames.org/11103526/monte-saraceno.html,,,,,,,,,,,,,,,,,,,,,,,
Kasmenai,http://pleiades.stoa.org/places/462269,"37.0771,14.8320",Monte Casale,,,,,,,,,,,,,,,,,,,,,,,,
Leontini,http://pleiades.stoa.org/places/462279,"37.28556, 14.99737",Lentini,http://www.geonames.org/2524410/lentini.html,,,,,,,,,,,,,,,,,,,,,,,
Licodia Eubea,see Euboia?,,,,,,,,,,,,,,,,,,,,,,,,,,
Lilybaeum,http://pleiades.stoa.org/places/462281,"37.80355, 12.4379",Marsala,http://www.geonames.org/6542148/marsala.html,,,,,,,,,,,,,,,,,,,,,,,
Lipara,http://pleiades.stoa.org/places/462283,"38.48333, 14.93333",Lipari,http://www.geonames.org/2524378/isola-lipari.html,,,,,,,,,,,,,,,,,,,,,,,
Mazara,http://pleiades.stoa.org/places/462305,"37.65418, 12.59304",Mazara del Vallo,http://www.geonames.org/2524205/mazara-del-vallo.html,,,,,,,,,,,,,,,,,,,,,,,
Megara Hyblaea,http://pleiades.stoa.org/places/462307,"37.20380,15.18274",Archeological site of Megara Iblea,http://www.geonames.org/10282044/megara-hyblaea.html,,,,,,,,,,,,,,,,,,,,,,,
Melita,http://pleiades.stoa.org/places/462311,"35.91667, 14.43333",Malta,http://www.geonames.org/2562772/malta.html,,,,,,,,,,,,,,,,,,,,,,,
Menae,http://pleiades.stoa.org/places/462312,"37.26494, 14.69381",Mineo,http://www.geonames.org/2524142/mineo.html,,,,,,,,,,,,,,,,,,,,,,,
Mendolito,http://pleiades.stoa.org/places/462313,"37.699040, 14.808181",,,,,,,,,,,,,,,,,,,,,,,,,
Messana,http://pleiades.stoa.org/places/462538,"38.19394, 15.55256",Messina,http://www.geonames.org/2524170/messina.html,,,,,,,,,,,,,,,,,,,,,,,
Morgantina,http://pleiades.stoa.org/places/462372,"37.430596, 14.479485",Morgantina,http://www.geonames.org/2524052/morgantina.html,,,,,,,,,,,,,,,,,,,,,,,
Motya,http://pleiades.stoa.org/places/462373,"37.86503, 12.46798",Mozia,http://www.geonames.org/2524039/mozia.html,,,,,,,,,,,,,,,,,,,,,,,
Mutyca,http://pleiades.stoa.org/places/462378,"36.84594, 14.77399",Modica,http://www.geonames.org/6541972/modica.html,,,,,,,,,,,,,,,,,,,,,,,
Mylai,http://pleiades.stoa.org/places/462379,"38.22008, 15.24023",Milazzo,http://www.geonames.org/2524155/milazzo.html,,,,,,,,,,,,,,,,,,,,,,,
Mytistratus (?),http://pleiades.stoa.org/places/462381,"37.60990,13.95130",Monte Castellazzo di Marianopoli,,,,,,,,,,,,,,,,,,,,,,,,
Naxos,http://pleiades.stoa.org/places/462386,"37.82226, 15.26749",Giardini-Naxos,http://www.geonames.org/6535961/giardini-naxos.html,,,,,,,,,,,,,,,,,,,,,,,
Netum,http://pleiades.stoa.org/places/462388,"36.94573,15.02365",Noto Antica,http://www.geonames.org/10401419/mount-alveria.html,,,,,,,,,,,,,,,,,,,,,,,
