Ancient place name,Pleiades URI,latlong,Modern name,Geonames URI
Lilybaeum,http://pleiades.stoa.org/places/462281,"37.80355, 12.4379",Marsala,http://sws.geonames.org/6542148/
Lipara,http://pleiades.stoa.org/places/462283,"38.48333, 14.93333",Lipari,http://sws.geonames.org/2524378/
Longane,https://pleiades.stoa.org/places/462287,"38.091842, 15.158206",Rodì Milici,https://sws.geonames.org/2523592/
Mazara,http://pleiades.stoa.org/places/462305,"37.65418, 12.59304",Mazara del Vallo,http://sws.geonames.org/2524205/
Megara Hyblaea,http://pleiades.stoa.org/places/462307,"37.20380,15.18274",Megara Iblea,http://sws.geonames.org/10282044/
Melita,http://pleiades.stoa.org/places/462311,"35.91667, 14.43333",Malta,http://sws.geonames.org/2562772/
Menae,http://pleiades.stoa.org/places/462312,"37.26494, 14.69381",Mineo,http://sws.geonames.org/2524142/
Mendolito,http://pleiades.stoa.org/places/462313,"37.699040, 14.808181",,
Messana,http://pleiades.stoa.org/places/462538,"38.19394, 15.55256",Messina,http://sws.geonames.org/2524170/
Morgantina,http://pleiades.stoa.org/places/462372,"37.430596, 14.479485",Morgantina,http://sws.geonames.org/2524052/
Motya,http://pleiades.stoa.org/places/462373,"37.86503, 12.46798",Mozia,http://sws.geonames.org/2524039/
Motyon (?),https://pleiades.stoa.org/places/462375,"37.4725648082, 13.9464934374",Vassallaggi,http://sws.geonames.org/2523513/ (S. Cataldo)
Mutyca,http://pleiades.stoa.org/places/462378,"36.84594, 14.77399",Modica,http://sws.geonames.org/6541972/
Mylai,http://pleiades.stoa.org/places/462379,"38.22008, 15.24023",Milazzo,http://sws.geonames.org/2524155/
Mytistratus (?),http://pleiades.stoa.org/places/462381,"37.60990,13.95130",Monte Castellazzo di Marianopoli,
Naxos,http://pleiades.stoa.org/places/462386,"37.82226, 15.26749",Giardini Naxos,http://sws.geonames.org/6535961/
Netum,http://pleiades.stoa.org/places/462388,"36.94573,15.02365",Noto Antica,http://sws.geonames.org/10401419/
Omphake (?),https://pleiades.stoa.org/places/462399,"37.19104, 14.18367",Butera,https://sws.geonames.org/6537787/
Pachynus Pr.,http://pleiades.stoa.org/places/462405,"36.6889, 15.15379",Capo Passero,http://sws.geonames.org/2523870/
Palike,https://pleiades.stoa.org/places/465970,"37.329954, 14.697361",Palikè,
Panhormus,http://pleiades.stoa.org/places/462410,"38.13205, 13.33561",Palermo,http://sws.geonames.org/2523920/
Parthenicum (?),http://pleiades.stoa.org/places/462413,"38.04657, 13.11785",Partinico,http://sws.geonames.org/2523871/
Krastos (?),http://pleiades.stoa.org/places/465935,"37.67894, 13.60346",Castronuovo di Sicilia,http://sws.geonames.org/2525074/
Philosophiana,http://pleiades.stoa.org/places/462423,"37.30188, 14.20959",Mazzarino,http://sws.geonames.org/2524200/
"Phoenicusa, ins.",http://pleiades.stoa.org/places/462425,"38.566667, 14.566667",Filicudi,http://sws.geonames.org/2524753/
Piazza Armerina,http://pleiades.stoa.org/places/462435,"37.38417, 14.36921",Piazza Armerina,http://sws.geonames.org/2523796/
Phintias,http://pleiades.stoa.org/places/462424,"37.10267, 13.93972",Licata,http://sws.geonames.org/2524393/
"Phorbantia, ins.",http://pleiades.stoa.org/places/462428,"37.987235, 12.339898",Levanzo,http://sws.geonames.org/2524396/
Segesta,http://pleiades.stoa.org/places/462487,"37.94171, 12.83649",Segesta,http://sws.geonames.org/2523171/
